,Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
133,Company134,Success,2010,4,81,Big Data Competitive Intelligence,Marketing,data collection ,EPIC Ventures|Kevin O'Connor,22,5,No,10/1/2010,3/13/2013,2000000,United States,North America,0,2,1,0,8,23,No,0,low,No,Small,Yes,Yes,No,No,Product,Yes,Public,Yes,Unstructured,No,Platform,Local,Non-Linear,No,Few,No,No,Yes,No,No,No,No,No,Yes,No,Online,B2B,None,High,Yes,Medium,Bachelors,18,Aquatic biology,Yes,Yes,Tier_2,448,High,0,0,0,Low,0,None,21,High,Medium,Yes,No,Low,No Info,Yes,No,Yes,No,No,No,Low,731564,Yes,No,No,3,Medium,4,7.6,2,Not Applicable,1,7.45,Slope,2 to 5,11.11111111,5.555555556,16.66666667,5.555555556,22.22222222,11.11111111,11.11111111,5.555555556,5.555555556,0,0,0,0,5.555555556,2
136,Company137,Failed,2000,14,0,fabless semiconductors,Network / Hosting / Infrastructure,IT & Sales,BlueRun Ventures|Tallwood Venture Capital,18,0,No,1/1/2000,6/2/2009,15000000,United States,North America,0,0,0,0,8,50,Yes,0,Nothing,No,Large,Yes,Yes,No,Yes,Product,No,no,No,no,No,Platform,Local,Linear,No,None,No,No,No,No,No,No,No,No,No,No,Offline,B2B,Low,High,Yes,Low,Masters,21,business,Yes,Yes,Tier_1,500,High,0,1,0,High,0,None,25,Medium,Low,No,Yes,Low,No Info,No,No,No,No,No,No,No Info,No Info,No,Yes,No,2,Medium,0,3.8,15,No,60,7.4,Trigger,2 to 5,0,0,22.22222222,11.11111111,11.11111111,0,0,0,0,44.44444444,0,0,11.11111111,0,5
137,Company138,Failed,2004,10,-445,user driven social content website,Media,social news,Greylock Partners|Omidyar Network|Marc Andreessen|Reid Hoffman|Ron Conway|Al Avery|FLOODGATE|SV Angel|Highland Capital Partners|SVB Financial Group|Kevin Rose|Floodgate Fund,79,-2,Yes,10/11/2004,7/12/2011,5000000,United States,North America,0,0,1,0,6,10,Yes,0,High,Yes,Medium,Yes,Yes,No,No,Product,Yes,Public,No,Unstructured,No,Platform,Global,Non-Linear,No,Few,Yes,No,No,No,No,No,No,No,No,Yes,Online,B2C,High,High,Yes,Medium,Masters,21,Business Administration,Yes,Yes,Tier_2,500,High,1,0,0,Low,1,None,200,Low,Low,No,No,Low,No Info,No,No,Yes,No,No,Yes,No Info,483,No,No,No,3,Medium,28,1.1,5,Yes,12,17.58333333,Peak,2 to 5,12.5,3.125,12.5,9.375,18.75,3.125,21.875,6.25,0,9.375,0,0,0,3.125,1
143,Company144,Failed,2011,3,107,all your photos everywhere,Mobile,social network,Index Ventures|500 Startups|Kii Capital|2020 Ventures|Strive Capital,0,-100,No,8/26/2011,7/19/2012,1000000,United States,North America,5,5,3,0,3,6,Yes,5,low,Yes,Small,No,No,No,No,Service,No,no,No,no,No,Platform,No Info,No Info,No Info,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,High,High,No,Medium,Bachelors,18,business,No,Yes,Tier_1,157,High,0,1,0,None,0,None,12,Low,Low,Yes,No,Medium,No Info,Yes,No,Yes,No,No,No,No Info,718025,No,No,Yes,3,Medium,0,3,1,Not Applicable,3,2.711111111,Plateau,0 to 2,1.960784314,0,46.0130719,0,0,4.444444444,1.960784314,8.104575163,0,4.183006536,0,0,0,0,2
144,Company145,Failed,2010,4,-77,Marketplace for quality tutoring.,Education,consumer web,Resolute.vc|Paul Buchheit|Sequoia Capital|Founder Collective|Lerer Ventures|SV Angel|Thrive Capital|Alexis Ohanian|Bubba Murarka|reinmkr capital|Y Combinator,19,-5,No,9/1/2010,2/18/2013,800000,United States,North America,9,0,3,0,5,10,Yes,0,low,No,Medium,No,No,No,No,Product,No,Public,No,Unstructured,No,Cloud,Local,Non-Linear,Yes,None,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Online,B2C,Medium,Medium,No,Low,Bachelors,18,history,No,No,Tier_1,500,Low,0,0,0,None,0,None,4,Low,Low,Yes,Yes,Low,No Info,No,No,No,No,No,No,No Info,3638146,No,Yes,No,2,Low,1,3.3,0.8,Not Applicable,14,7.1,Trigger,2 to 5,9.206349206,0,20,0,2.380952381,2.380952381,4.761904762,4.444444444,4.761904762,6.825396825,0,2.380952381,4.761904762,4.761904762,3
146,Company147,Failed,2007,7,-8,A place for people to talk about the tv ,Entertainment|Media|Mobile,marketing,Innogest,1,0,No,8/1/2007,5/17/2011,1500000,Italy,Europe,0,0,0,0,3,10,No Info,1,Nothing,No,Medium,No,No,No,Yes,Service,No,Public,No,Unstructured,No,Platform,No Info,No Info,No Info,None,No,No,No,No,No,No,No,No,No,No,Online,B2C,Low,High,No,Low,Bachelors,18,engg,No,No,None,500,Low,0,0,0,None,0,None,0,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,No Info,14598301,Yes,Yes,No,2,Low,6,1.6,1.5,No,24,11.88333333,Plateau,0 to 2,7.692307692,0,38.46153846,0,0,15.38461538,7.692307692,7.692307692,0,23.07692308,0,0,0,0,5
149,Company150,Failed,2006,8,8,SMS /Online Reminders,Search,Data Management,Hummer Winblad Venture Partners,0,-100,No,1/1/2006,3/20/2008,1000000,United States,North America,0,0,1,0,1,3,Yes,0,Nothing,No,Small,No,No,No,No,Service,No,Private,No,Both,Yes,Platform,Local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2C,Low,Medium,No,Medium,Masters,21,MBA,Yes,Yes,Tier_1,500,Medium,0,1,1,Medium,75,Few,29,Low,Low,No,Yes,Medium,No Info,No,Yes,No,Yes,No,No,Medium,7974958,No,No,No,3,Medium,0,0.4,1,No,26,26,Plateau,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
151,Company152,Success,2005,9,50,Game development and monetization,Advertising|Gaming|Marketing,Marketing,Accel Partners|Shasta Ventures|Tom McInerney|Felicis Ventures,26,-4,yes,1/1/2005,6/18/2008,10000000,United States,North America,0,0,3,2,4,32,Yes,1,medium,No,Small,Yes,Yes,No,No,Service,No,Public,Yes,Unstructured,Yes,Platform,Local,Non-Linear,No,None,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2C,High,High,No,Low,Bachelors,18,Management and information technology,Yes,Yes,Tier_2,500,High,0,0,0,Medium,0,None,12,Low,Low,Yes,No,Low,No Info,No,No,No,No,No,No,No Info,7445,No,No,No,2,Low,2,4,10,Yes,40,1.633333333,Trigger,2 to 5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,2
156,Company157,Success,2007,7,-69,Relational Database Managment System,Analytics,Strategy,Bay Partners|Mohr Davidow Ventures|PacVen Walden Ventures|Walden International|Menlo Ventures|Tao Venture Partners|Silicon Valley Bank|Amazon,55,4,Yes,1/1/2007,4/25/2012,20000000,United States,North America,0,7,2,0,6,46,Yes,6,high,No,Medium,Yes,Yes,No,No,Product,Yes,Private,No,Structured,No,Both,Global,Linear,Yes,None,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2B,High,High,No,Medium,Masters,21,MBA,Yes,No,None,500,Low,1,1,1,Low,81,Many,40,Low,High,Yes,No,Medium,Bad,No,Yes,No,Yes,No,No,Medium,No Info,No,No,No,3,Medium,0,7.6,20,Yes,12,8.877777778,Plateau,0 to 2,0,0,88.88888889,0,0,8.333333333,2.777777778,0,0,0,0,0,0,0,0
160,Company161,Success,2007,7,1535,Predictive analytics on open stack,Analytics|Enterprise Software,Development Tool,Earlybird Venture Capital|Open Ocean|David Axmark|Michael Widenius,3,1,Yes,1/1/2007,11/4/2013,5000000,United States,North America,0,0,1,6,5,33,No,0,high,No,Medium,Yes,Yes,No,Yes,Service,Yes,Private,No,Structured,Yes,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Medium,PhD,25,Data Mining,Yes,Yes,None,500,High,0,0,0,High,61,Many,41,High,Medium,Yes,No,Low,Good,Yes,Yes,Yes,Yes,No,No,High,104224,Yes,Yes,Yes,4,High,0,5.5,5,Yes,72,72,Peak,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,Company162,Success,2013,1,120,CRE research made simple,Analytics|Finance,Strategy,Jeffrey P. Parker|Tom Falus|Matt Dwyer|Sam Wohlstadter|Resolute.vc|High Peaks Venture Partners|KEC Ventures|SoftBank Capital|Jeff Parker|FinTech Collective,5,1,No,3/1/2013,3/18/2014,3700000,United States,North America,0,7,4,1,4,8,Yes,4,Nothing,No,Small,Yes,No,No,No,Service,No,Private,No,Structured,No,Platform,Local,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,Medium,No,Low,Masters,21,MBA,Yes,No,Both,300,Low,1,1,1,Medium,91,Few,10,Low,Low,Yes,No,Low,Bad,No,No,No,Yes,No,No,High,1125918,Yes,No,Yes,4,Medium,0,8,3.7,Not Applicable,1,6.366666667,Trough,0 to 2,5.555555556,2.777777778,54.86111111,6.25,5.555555556,15.27777778,5.555555556,1.388888889,0,0,0,2.777777778,0,0,6
162,Company163,Success,2007,7,355,R Language Professional Support,Analytics|Insurance,Tool,Intel Capital|Presidio Ventures|North Bridge Venture Partners,103,0,yes,1/1/2007,1/2/2013,7800000,United States,North America,0,0,2,3,3,105,Yes,3,high,No,Large,Yes,No,Yes,Yes,Product,Yes,Private,No,Both,Yes,Both,Global,Linear,Yes,None,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Online,B2C,Medium,High,No,Medium,Bachelors,18,Management and Technology,Yes,Yes,None,500,High,0,0,0,Low,279,Few,6,High,High,No,No,Medium,Good,No,Yes,No,Yes,No,No,No Info,95565,Yes,Yes,Yes,3,Medium,0,17.5,7.8,Yes,12,12,Peak,2 to 5,0,0,0,20,0,20,20,20,0,0,0,20,0,0,0
164,Company165,Success,2013,1,294,Simple Inventory Management for Square,E-Commerce|Retail|Mobile,Inventory management,TechStars|Techstars,4,0,No,5/8/2013,10/11/2013,1000000,United States,North America,1,1,3,0,4,6,No,0,high,No,Small,No,No,No,No,Service,No,Private,No,Structured,Yes,Platform,Local,Linear,Yes,None,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,Masters,21,MBA,Yes,Yes,None,500,Low,0,0,0,Low,112,Many,45,Low,Low,Yes,Yes,Low,Bad,No,Yes,Yes,Yes,No,No,High,810092,No,No,No,3,Medium,0,6,1,Not Applicable,1,1.677777778,Trough,0 to 2,1.851851852,0,63.63636364,5.555555556,3.703703704,0,12.96296296,4.882154882,3.703703704,1.851851852,0,1.851851852,0,0,4
166,Company167,Success,2012,2,334,The Machine Learning Company,Analytics,"Optimization, CRM, Pricing",Javelin Venture Partners|Alireza Masrour|Plug & Play Ventures|US Venture Partners|United Parcel Service|Osage University Partners|Scott McNealy,36,13,yes,1/1/2012,4/30/2013,18000000,United States,North America,0,0,2,4,7,42,Yes,1,low,Yes,Medium,No,No,No,No,Service,Yes,Private,No,Structured,No,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Both,B2B,Low,High,Yes,High,PhD,25,Computer Science,Yes,Yes,None,400,High,1,1,1,Medium,86,Many,40,Medium,Medium,Yes,No,Medium,Good,No,No,No,Yes,No,No,High,583200,No,No,No,3,Low,0,42,18,Not Applicable,1,3.6,Peak,2 to 5,2.777777778,2.777777778,11.11111111,2.777777778,0,61.11111111,13.88888889,2.777777778,2.777777778,0,0,0,0,0,1
170,Company171,Success,2010,4,616,active analytics,Analytics|Software Development|Marketing,"Marketing, customer targeting",Andreessen Horowitz|500 Startups|Point Nine Capital|Sand Hill Angels |Dingman Center Angels,6,0,No,5/15/2010,6/10/2013,1000000,United States,North America,5,0,2,0,2,5,No,0,high,No,Small,No,No,No,No,Service,Yes,Private,No,Both,No,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,None,Medium,No,High,Masters,21,Arts and Culture,No,No,Tier_1,500,Low,0,0,0,Medium,153,Few,35,Low,Low,No,No,Medium,Bad,No,No,No,Yes,No,No,High,103061,Yes,No,No,2,Low,0,1.6,1,Not Applicable,37,37,Plateau,0 to 2,5.882352941,0,26.47058824,2.941176471,5.882352941,5.882352941,2.941176471,0,0,0,0,0,0,0,0
172,Company173,Success,2012,2,137,The Real-Time SQL-on-Hadoop Database,Analytics,Database Management,Mohr Davidow Ventures|InterWest Partners,24,9,yes,1/1/2012,2/10/2014,15000000,United States,North America,0,0,3,4,6,30,Yes,1,high,No,Medium,Yes,Yes,No,No,Product,Yes,Private,No,Both,Yes,Platform,Global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,No,Offline,B2B,Low,High,No,High,Masters,21,Biomedical and mechanical Engineering,No,Yes,None,500,Medium,0,0,0,Low,68,Few,12,Medium,Medium,Yes,No,Medium,Good,No,Yes,Yes,Yes,No,No,High,1065438,No,No,Yes,3,High,0,30,15,Not Applicable,10,8.016666667,Peak,2 to 5,0,0,45.45454545,0,0,0,4.545454545,0,0,0,0,0,0,0,1
178,Company179,Success,2011,3,299,Transforming Security Risk Management,Analytics|Security|Enterprise Software,technology,Globespan Capital Partners|Menlo Ventures|Flybridge Capital Partners|Commonwealth Capital Ventures|National Science Foundation,41,8,yes,1/1/2011,6/5/2013,24000000,United States,North America,3,0,2,2,3,25,Yes,2,high,No,Small,No,No,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,18,CSE,Yes,Yes,None,500,Low,1,0,0,None,360,Many,20,Medium,High,No,No,Medium,Very Good,Yes,Yes,Yes,No,No,Yes,Low,1162155,Yes,Yes,No,4,Medium,10,3,24,Not Applicable,36,24,Trigger,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
179,Company180,Success,2010,4,-100,Big Data for Conferences,Media|Publishing,operations,Michael Chaney|Frederick Farrar|T. Mills Kelly|Wayne Buder|Gregory T Stern|Kenneth Gilbert|Gregory T.Stern|Peter J. Toren|Marco Giberti|Paolo Rubatto|Greg Stern|Peter Toren|David Neithercutt,12,0,yes,1/1/2010,9/12/2013,200000,United States,North America,17,0,2,5,2,11,No,10,medium,Yes,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,No,No,Yes,No,No,No,No,Online,B2C,Medium,High,Yes,Medium,Bachelors,18,electrical,Yes,Yes,None,500,High,1,1,1,Medium,448,None,22,Medium,Medium,No,No,Low,Very Good,No,Yes,Yes,No,No,Yes,No Info,290009,Yes,No,No,2,Low,4,2,0.2,Not Applicable,12,6,Plateau,0 to 2,11.80555556,0,9.375,39.23611111,0,5.902777778,18.05555556,6.25,0,9.375,0,0,0,0,8
184,Company185,Success,2012,2,123,Mobile BI Platform,Mobile|Analytics,operations,Angel Investors,3,1,No,1/1/2012,9/1/2013,400000,United States,North America,1,0,2,4,3,8,Yes,5,medium,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Cloud,global,Non-Linear,No,None,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,Low,Low,Yes,Medium,No Info,No Info,tech,Yes,Yes,No Info,500,High,0,0,0,None,406,Many,23,Medium,Medium,Yes,No,Medium,Average,No,No,No,Yes,No,No,Low,880762,Yes,Yes,Yes,4,High,3,2,0.4,Not Applicable,6,12,Peak,2 to 5,17.64705882,0,29.41176471,11.76470588,0,0,11.76470588,11.76470588,5.882352941,11.76470588,0,0,0,0,3
185,Company186,Success,2010,4,0,Opinion's Movement,Marketing,Marketing,Lorenzo Barbantini Scanni|Armando Biondi|ChileGlobal Angels|Cesare Guarini|Leandro Puca|Attilio Meoli|Maurizio Donadelli|Roberto Cipollini|Cristiano Carlutti|Filippo Meo,3,1,Yes,1/29/2010,8/1/2012,535000,United States,North America,11,0,3,9,9,50,No,0,medium,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Unstructured,Yes,Platform,local,Non-Linear,No,None,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Online,B2C,Low,High,Yes,Low,Masters,21,PILOT,No,Yes,None,500,Low,0,1,1,None,173,Many,21,Medium,Medium,No,No,Medium,Bad,No,Yes,Yes,No,No,No,No Info,No Info,No,No,No,2,Medium,3,16.6,0.535,Not Applicable,28,12,Slope,2 to 5,9.607843137,0,3.333333333,21.76470588,0,3.333333333,25.09803922,6.274509804,8.823529412,18.43137255,0,0,0,3.333333333,8
189,Company190,Success,2011,3,28,Big Data Predictive Insight,Analytics,technology,Sierra Ventures|Mission Ventures|Sumitomo Corporation Equity Asia|Stanford University|UMC Capital|Robert Bosch Venture Capital,41,17,Yes,1/1/2011,11/22/2013,16000000,United States,North America,0,0,2,2,5,50,Yes,2,medium,Yes,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Cloud,global,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,18,electrical engg,No,Yes,Tier_2,500,Medium,0,1,0,None,2,None,37,Medium,High,Yes,No,Medium,Very Good,Yes,Yes,No,Yes,No,No,Low,No Info,Yes,Yes,No,3,High,5,25,16,Not Applicable,12,8,Plateau,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,Company192,Success,2011,3,448,Marketing analytics software,Advertising|Marketing|Analytics,marketing,Investment Group of Santa Barbara|Aaron Bird|TechStars|Madrona Venture Group|MHS Capital|Rob Glaser,15,15,yes,2/1/2011,11/26/2012,1700000,United States,North America,3,0,2,0,2,15,Yes,1,high,No,Medium,No,No,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,No,No,Yes,No,Yes,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,MGMT,No,Yes,None,500,High,1,0,0,Medium,272,Many,24,Medium,Medium,No,Yes,Low,Average,No,Yes,No,No,No,No,Low,156473,Yes,No,No,3,Low,5,7.5,1.7,Not Applicable,8,6,Peak,2 to 5,11.11111111,0,22.22222222,27.77777778,5.555555556,11.11111111,11.11111111,5.555555556,0,5.555555556,0,0,0,0,9
197,Company198,Success,2012,2,299,The Marketing Suite for the Visual Web,Marketing|Analytics,marketing,New Enterprise Associates|First Round Capital|MentorTech Ventures,30,7,yes,1/1/2012,1/15/2013,3000000,United States,North America,3,0,2,2,2,22,Yes,3,high,Yes,Medium,No,No,No,No,Service,Yes,Private,Yes,Unstructured,Yes,Platform,global,Non-Linear,No,Few,No,No,Yes,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18,TECH,Yes,Yes,Both,500,High,1,1,0,Medium,67,Many,5,Low,Low,No,No,Low,Very Good,Yes,Yes,No,No,No,Yes,No Info,No Info,No,Yes,No,4,Medium,4,22,3,Not Applicable,5,12,Trough,2 to 5,25,0,0,25,0,0,25,0,0,0,0,0,0,25,1
201,Company202,Success,2012,2,118,Stream Processing,Analytics|Enterprise Software,operations,August Capital|Morado Venture Partners|AME Cloud Ventures,18,13,No,1/1/2012,6/26/2013,8000000,United States,North America,2,0,2,0,2,22,Yes,0,medium,No,Small,No,No,No,No,Product,Yes,Private,Yes,Both,Yes,Cloud,Global,Non-Linear,Yes,None,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,MGMT,Yes,Yes,None,324,High,1,1,1,Medium,200,None,18,Low,High,No,No,Low,Average,No,No,Yes,No,No,No,Low,44388,No,No,No,4,Medium,5,22,8,Not Applicable,15,11,Peak,2 to 5,2.777777778,0,62.82051282,0,8.333333333,6.623931624,16.66666667,2.777777778,0,0,0,0,0,0,5
203,Company204,Success,2010,4,131,Doubleclick for Market Research,Advertising|Market Research,Marketing,Sopris Partners|Voodoo Ventures,48,2,Yes,3/10/2010,11/8/2011,2800000,United States,North America,0,0,0,0,5,49,No,0,medium,No,Medium,Yes,Yes,No,Yes,Product,Yes,Private,Yes,Structured,Yes,Cloud,Local,Linear,No,None,No,No,No,Yes,No,Yes,No,No,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21,business,Yes,Yes,Tier_1,500,High,0,0,0,None,270,None,14,Medium,High,Yes,No,Low,Very Good,No,No,Yes,No,No,No,No Info,2186599,No,No,No,2,Low,1,16.3,2.8,Not Applicable,1,1,Slope,2 to 5,16.66666667,5.555555556,0,38.88888889,5.555555556,16.66666667,11.11111111,0,5.555555556,0,0,0,0,0,0
207,Company208,Success,2007,7,331,patented social media analysis,Analytics,Social media analytics,Charles F. Dolan|Golden Seeds|Springboard Enterprises,83,-3,yes,8/1/2007,9/28/2012,5089656,United States,North America,0,0,1,1,7,85,No,0,high,Yes,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Unstructured,Yes,Platform,global,Non-Linear,No,None,No,No,No,Yes,No,Yes,No,No,No,No,Online,B2B,Medium,High,Yes,Medium,PhD,25,COMPUTERS,Yes,Yes,Both,500,High,1,1,1,Medium,200,Many,20,Low,Low,Yes,No,Low,Average,No,No,No,No,No,No,No Info,58457,Yes,No,No,2,High,2,14.16,5.089656,Yes,18,12,Trigger,5 to 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
209,Company210,Success,2007,7,5,IT Operations Analytics,Security|Cloud Computing,Operations,Miramar Venture Partners|US Venture Partners|ATA Ventures,53,0,Yes,1/1/2007,5/1/2012,18000000,United States,North America,0,2,1,0,5,80,No,0,medium,Yes,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,PhD,25,electrical,Yes,Yes,Both,500,High,1,1,1,Medium,187,Many,17,Low,Low,No,No,Medium,Very Good,Yes,No,No,No,No,No,Low,889950,No,No,No,2,Medium,3,13.3,18,Yes,60,40,Peak,2 to 5,0,2.777777778,25,2.777777778,2.777777778,0,8.333333333,2.777777778,0,5.555555556,0,0,0,0,2
213,Company214,Success,2008,6,464,Real-Time Performance Monitoring,Analytics,marketing,Mehdi Daoudi|Battery Ventures,43,0,yes,9/15/2008,12/10/2013,6000001,United States,North America,0,1,4,2,7,50,Yes,2,high,Yes,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,No,No,Yes,No,Yes,No,No,Offline,B2B,Low,Medium,Yes,Low,Masters,21,INTERNATIONAL TRADE,Yes,Yes,Both,500,High,1,1,1,Medium,400,Many,23,Medium,Low,No,No,Low,Average,No,No,Yes,No,No,Yes,No Info,141868,Yes,Yes,No,3,High,2,10,6.000001,Yes,17,9,Trigger,5 to 10,5.263157895,10.52631579,42.10526316,15.78947368,0,10.52631579,10.52631579,0,0,5.263157895,0,0,0,0,5
218,Company219,Success,2000,14,170,Customer Intelligence Solutions,Analytics,Marketing,Oak Investment Partners|Diamondhead Ventures|Ampersand Capital Partners,172,1,yes,1/1/2000,12/22/2013,11778004,United States,North America,0,4,0,0,5,173,Yes,3,low,No,Medium,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Cloud,Global,Linear,No,None,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,High,Yes,Low,Bachelors,18,MATHS,Yes,Yes,None,500,Medium,0,0,0,None,368,None,10,Low,High,No,No,Low,Bad,Yes,No,Yes,No,No,Yes,Low,443595,Yes,No,No,3,High,2,13.3,11.778004,Yes,72,27,Peak,5 to 10,12.5,12.5,25,12.5,25,12.5,0,0,0,0,0,0,0,0,0
219,Company220,Success,2008,6,294,Intelligent Customer Engagement,E-Commerce|Analytics|Mobile|Retail,operations,Sequoia Capital|Norwest Venture Partners|Qualcomm Ventures|American Express Ventures,410,1,yes,8/1/2008,2/11/2014,4500000,Singapore,Asia,1,0,3,0,9,415,Yes,0,high,Yes,Large,No,No,No,No,Service,No,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,Yes,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,engg,Yes,Yes,Tier_1,500,Medium,0,1,1,High,325,None,25,Low,Medium,No,No,High,Average,Yes,No,Yes,No,No,No,No Info,208813,Yes,No,No,2,Low,3,83,4.5,Yes,48,24,Plateau,0 to 2,2.777777778,13.88888889,0,17.06349206,15.47619048,26.98412698,18.25396825,2.777777778,2.777777778,0,0,0,0,0,0
